brand_name,company_name,industry_name,kmeans_cluster,hierarchical_cluster,dbscan_cluster,segment_label,initial_greenwashing_level,scope12_total,revenues,country_of_origin,electric_vehicles_percent,major_sustainability_award_last5y
Aquafina,"PepsiCo, Inc.",Non-Alcoholic Beverages,0,0,-1,CL-01,0.0,4231588,86392,United States,2,0
Aquarel,Nestle,Processed Foods,0,0,-1,CL-01,0.0,3470000,105520,France,1,0
Aquarius,Coca-Cola Company,Non-Alcoholic Beverages,0,0,3,CL-01,0.6,1371418,43000,Germany,1,0
Aramis,Estée Lauder Companies Inc.,Household & Personal Products,3,0,-1,CL-01,0.6,30800,17737,United States,1,0
Arctic Shores,United Natural Foods Inc.,Food Retailers & Distributors,0,0,3,CL-01,0.0,563588,27000,Canada,1,0
Argo,Associated British Foods plc,Processed Foods,3,0,-1,CL-01,0.0,2907000,16921,United States,1,0
Ariel,Procter & Gamble Company,Household & Personal Products,3,0,-1,CL-01,0.0,2315748,80187,Germany,1,0
Arize,Bayer,Biotechnology & Pharmaceuticals,1,0,4,CL-01,1.0,0,51558,United States,1,0
Arizona Beverage Co,Hornell Brewing Co Inc.,Alcoholic Beverages,0,0,-1,CL-01,1.0,0,3000,United States,1,0
Arizona Farm,H Mart,Food Retailers & Distributors,0,0,3,CL-01,1.0,0,1050,United States,1,0
Arizona Hard,Hornell Brewing Co Inc.,Alcoholic Beverages,0,0,3,CL-01,1.0,0,3000,United States,1,0
ARKO,ARKO Corp.,Food Retailers & Distributors,0,0,3,CL-01,0.0,206032,1840,Turkey,1,0
Arm & Hammer,"Church & Dwight Co., Inc.",Household & Personal Products,3,0,-1,CL-01,0.6,99310,5190,United States,1,0
Armour,Conagra Brands Inc.,Processed Foods,3,0,-1,CL-01,0.0,802107,11500,United States,1,0
Armour Meats,"Smithfield Foods, Inc.","Meat, Poultry & Dairy",3,0,-1,CL-01,0.0,3944258,19100,United States,1,0
Armstrong,Saputo Inc.,Processed Foods,0,0,1,CL-01,0.0,879317,12880,United States,1,0
Arnold,"Bimbo Bakeries USA, Inc.",Processed Foods,3,0,-1,CL-01,0.0,1151090,19800,United States,1,0
Arnold Palmer Spiked,Molson Coors Beverage Company,Alcoholic Beverages,0,0,3,CL-01,0.0,872621,10280,United States,1,0
